ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
space,23.454095,right,110.6145,left,2.30561,right,22.77565,left,1,7.62962,0,0,0,6,1,likálható,1,left,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.913795,0,1,1,23,1,család,1,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,0.894895,0,0,0,14,1,cikk,2,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.687915,0,1,1,0,1,látszik,2,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,left,1,2.37817,0,0,0,23,1,perilita,3,left,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,5.986925,0,1,1,8,1,anaszsében,3,left,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,1,0.741,0,0,0,9,1,népszerű,4,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.786355,0,1,1,8,1,zenekar,4,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.741955,0,0,0,0,1,változik,5,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.77929,0,1,1,1,1,spanyol,5,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,0.60984,0,0,0,12,1,öröm,6,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.190035,0,1,1,18,1,alkalom,6,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,left,1,5.406235,0,0,0,7,1,nőttetett,7,left,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.20499,0,1,1,10,1,bajnok,7,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,6,6,6,1,blocks/block_7.xlsx
,,,,,,,,right,1,0.793195,0,0,0,9,1,jogosult,8,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,5.392595,0,1,1,11,1,érzéketít,8,left,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,7,7,7,1,blocks/block_8.xlsx
,,,,,,,,right,1,1.130235,0,0,0,18,1,csend,9,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,0,1.39703,0,1,1,23,1,lábtörög,9,left,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.13848,0,2,2,3,1,ausztrál,9,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,8,8,8,1,blocks/block_9.xlsx
,,,,,,,,right,1,0.84721,0,0,0,19,1,trend,10,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,3.16457,0,1,1,0,1,melő,10,left,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,0,9,9,9,1,blocks/block_10.xlsx
,,,,,,,,left,1,2.2963,0,0,0,2,1,meggyabb,11,left,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.76779,0,1,1,17,1,színpad,11,right,5078,Nő,1996,13,2020-09-28_22h03.47.554,lexdecspan,2020.1.2,Win32,60,,,,,,
