block_names,word,difficulty,correct_answer,across_block.thisRepN,across_block.thisTrialN,across_block.thisN,across_block.thisIndex,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,jonapot_szoveg.started,jonapot_szoveg.stopped,szo_kiir.started,szo_kiir.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,koszi_szoveg.started,koszi_szoveg.stopped,session,participant,date,expName,psychopyVersion,frameRate,
blocks/block_10.csv,környezetvédelem,10,left,0,9,9,9,0,1,1,20,,,77.80723024299368,None,left,1,1.3246075279894285,77.80723024299368,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_10.csv,,,,0,9,9,9,,,,,,,,,,,,,,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_11.csv,játszótér,11,left,0,10,10,10,0,0,0,7,,,79.7580798289855,None,left,1,0.7177035369677469,79.7580798289855,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_11.csv,forgatókönyv,11,left,0,10,10,10,0,1,1,19,,,81.00833344500279,None,left,1,0.5714954899740405,81.00833344500279,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_11.csv,,,,0,10,10,10,,,,,,,,,,,,,,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_12.csv,gyóka,12,right,0,11,11,11,0,0,0,6,,,82.1756693419884,None,right,1,0.8201627139933407,82.1756693419884,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_12.csv,visszín,12,right,0,11,11,11,0,1,1,21,,,83.51081844599685,None,right,1,1.3490135049796663,83.51081844599685,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_12.csv,,,,0,11,11,11,,,,,,,,,,,,,,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_13.csv,vízimény,13,right,0,12,12,12,0,0,0,6,,,85.44532729999628,None,right,1,1.0705458460142836,85.44532729999628,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_13.csv,rom,13,left,0,12,12,12,0,1,1,17,,,87.02875779400347,None,left,1,0.8790712549816817,87.02875779400347,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_13.csv,,,,0,12,12,12,,,,,,,,,,,,,,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_14.csv,rejtőzik,14,left,0,13,13,13,0,0,0,16,,,88.51447998400545,None,left,1,0.9133094549761154,88.51447998400545,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_14.csv,csomozdoni,14,right,0,13,13,13,0,1,1,8,,,89.93146016000537,None,right,1,0.9123674579896033,89.93146016000537,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_14.csv,,,,0,13,13,13,,,,,,,,,,,,,,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_15.csv,vélekedik,15,left,0,14,14,14,0,0,0,4,,,91.44894561299589,None,left,1,0.9068918070406653,91.44894561299589,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_15.csv,olvad,15,left,0,14,14,14,0,1,1,22,,,92.86757301702164,None,left,1,0.8322515379986726,92.86757301702164,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_15.csv,,,,0,14,14,14,,,,,,,,,,,,,,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_16.csv,ólom,16,left,0,15,15,15,0,0,0,16,,,94.31841682398226,None,left,1,0.6534387490246445,94.31841682398226,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_16.csv,kiskanál,16,left,0,15,15,15,0,1,1,3,,,95.485093588999,None,left,1,0.8627353330375627,95.485093588999,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_16.csv,,,,0,15,15,15,,,,,,,,,,,,,,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_17.csv,napkollektor,17,left,0,16,16,16,0,0,0,1,,,96.96910089597804,None,left,1,0.8747308970196173,96.96910089597804,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
blocks/block_17.csv,vetekszik,17,left,0,16,16,16,0,1,1,13,,,98.35438905301271,None,left,1,0.9454436490195803,98.35438905301271,None,,,01,timike,2020_May_19_2107,lukacsagi_lexdec,3.2.4,59.68986993453983,
