ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
space,2.2612,right,0.96534,left,0.491645,space,1.72106,right,1,1.030675,0,0,0,12,1,ország,1,right,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.46732,0,1,1,1,1,szeptember,1,right,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,0.424165,0,0,0,7,1,század,2,right,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.388075,0,1,1,13,1,típusú,2,right,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.386225,0,0,0,19,1,gép,3,right,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.36866,0,1,1,20,1,érkezik,3,right,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,1,0.32007,0,0,0,5,1,fény,4,right,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.32429,0,1,1,2,1,nyelvű,4,right,5119,férfi,1992,18,2020-09-28_18h27.31.823,lexdecspan,2020.1.2,Win32,60,,,,,,
