ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
space,14.407245,right,1.92982,left,0.74371,space,7.13494,right,1,0.80153,0,0,0,5,1,nagy,1,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.74765,0,1,1,8,1,dolog,1,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,left,1,1.654415,0,0,0,17,1,priváló,2,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.901935,0,1,1,9,1,digitális,2,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.788195,0,0,0,15,1,tetszik,3,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.766045,0,1,1,13,1,százalék,3,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,left,1,1.6412,0,0,0,20,1,néghajóti,4,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.85028,0,1,1,3,1,rendezvény,4,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.825245,0,0,0,11,1,lélek,5,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.834875,0,1,1,1,1,spanyol,5,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,1.057685,0,0,0,17,1,forgalom,6,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.565765,0,1,1,20,1,csomozdoni,6,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,left,1,1.33374,0,0,0,5,1,kiskolható,7,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,2.02584,0,1,1,0,1,borhátsz,7,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,6,6,6,1,blocks/block_7.xlsx
,,,,,,,,left,1,1.93393,0,0,0,1,1,átütésetti,8,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.9754,0,1,1,17,1,eredményez,8,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,7,7,7,1,blocks/block_8.xlsx
,,,,,,,,left,1,2.64143,0,0,0,10,1,vízgyűlő,9,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.932165,0,1,1,4,1,radikális,9,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,8,8,8,1,blocks/block_9.xlsx
,,,,,,,,right,1,0.921105,0,0,0,16,1,fűződik,10,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.31536,0,1,1,0,1,melő,10,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,9,9,9,1,blocks/block_10.xlsx
,,,,,,,,right,1,1.09314,0,0,0,18,1,többszörös,11,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.36995,0,1,1,14,1,kilolvai,11,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,10,10,10,1,blocks/block_11.xlsx
,,,,,,,,right,1,0.80501,0,0,0,22,1,gyűjt,12,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.99134,0,1,1,19,1,bronz,12,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,11,11,11,1,blocks/block_12.xlsx
,,,,,,,,left,1,1.0015,0,0,0,22,1,tömzsa,13,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.798905,0,1,1,16,1,szomszéd,13,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,12,12,12,1,blocks/block_13.xlsx
,,,,,,,,left,1,0.951365,0,0,0,10,1,kerem,14,left,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.010285,0,1,1,5,1,szobrász,14,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,13,13,13,1,blocks/block_14.xlsx
,,,,,,,,right,1,1.565165,0,0,0,4,1,imád,15,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.06564,0,1,1,23,1,hull,15,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,14,14,14,1,blocks/block_15.xlsx
,,,,,,,,right,1,0.78998,0,0,0,12,1,ólom,16,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.11535,0,1,1,11,1,glükóz,16,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,0,15,15,15,1,blocks/block_16.xlsx
,,,,,,,,right,1,0.831825,0,0,0,5,1,hurok,17,right,5062,férfi,1968,18,2020-09-26_18h22.12.969,lexdecspan,2020.1.2,Win32,60,,,,,,
