ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
f,4.04489,right,23.06318,left,12.19478,space,10.958275,left,1,2.676665,0,0,0,4,1,pirodáló,1,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.324715,0,1,1,13,1,rövid,1,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,1.19114,0,0,0,11,1,nyújt,2,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.49642,0,1,1,17,1,priváló,2,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,1.12004,0,0,0,13,1,százalék,3,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,2.510765,0,1,1,8,1,anaszsében,3,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,left,1,1.31313,0,0,0,0,1,maszt,4,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.058015,0,1,1,10,1,kész,4,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.69581,0,0,0,4,1,mond,5,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.60856,0,1,1,0,1,változik,5,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,left,1,1.64343,0,0,0,3,1,falvangú,6,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.04928,0,1,1,22,1,célszerű,6,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,right,1,0.950925,0,0,0,19,1,holland,7,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.41836,0,1,1,12,1,szökkeny,7,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,6,6,6,1,blocks/block_7.xlsx
,,,,,,,,right,1,0.8624,0,0,0,9,1,jogosult,8,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.962985,0,1,1,1,1,átütésetti,8,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,7,7,7,1,blocks/block_8.xlsx
,,,,,,,,right,1,0.801155,0,0,0,21,1,gróf,9,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.09006,0,1,1,15,1,iszlám,9,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,8,8,8,1,blocks/block_9.xlsx
,,,,,,,,left,1,1.320425,0,0,0,3,1,szalas,10,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.651185,0,1,1,14,1,citrom,10,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,9,9,9,1,blocks/block_10.xlsx
,,,,,,,,right,1,0.92166,0,0,0,22,1,orr,11,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.75058,0,1,1,17,1,színpad,11,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,10,10,10,1,blocks/block_11.xlsx
,,,,,,,,left,1,1.73023,0,0,0,10,1,maximax,12,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.573465,0,1,1,21,1,profit,12,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,11,11,11,1,blocks/block_12.xlsx
,,,,,,,,right,1,0.991905,0,0,0,8,1,turné,13,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.564725,0,1,1,13,1,egyenrangú,13,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,12,12,12,1,blocks/block_13.xlsx
,,,,,,,,right,1,0.53474,0,0,0,8,1,cirkusz,14,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.744475,0,1,1,22,1,törődik,14,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,13,13,13,1,blocks/block_14.xlsx
,,,,,,,,right,1,0.66685,0,0,0,19,1,sampon,15,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.487,0,1,1,15,1,régész,15,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,14,14,14,1,blocks/block_15.xlsx
,,,,,,,,left,1,1.229975,0,0,0,10,1,legiző,16,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.690945,0,1,1,3,1,vilálható,16,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,15,15,15,1,blocks/block_16.xlsx
,,,,,,,,right,1,1.166445,0,0,0,2,1,pénzösszeg,17,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.65289,0,1,1,7,1,értékesít,17,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,0,16,16,16,1,blocks/block_17.xlsx
,,,,,,,,left,1,1.54295,0,0,0,11,1,vízimény,18,left,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.828715,0,1,1,7,1,bacon,18,right,5083,nő,1966,17,2020-09-26_19h12.46.389,lexdecspan,2020.1.2,Win32,60,,,,,,
