block_names,word,difficulty,correct_answer,across_block.thisRepN,across_block.thisTrialN,across_block.thisN,across_block.thisIndex,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,jonapot_szoveg.started,jonapot_szoveg.stopped,szo_kiir.started,szo_kiir.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,koszi_szoveg.started,koszi_szoveg.stopped,session,participant,date,expName,psychopyVersion,frameRate,
blocks/block_10.csv,dumcsoska,10,right,0,9,9,9,0,0,0,3,,,40.18601868598489,None,right,1,0.9022419690154493,40.18601868598489,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_10.csv,citrom,10,left,0,9,9,9,0,1,1,15,,,41.60306108201621,None,left,1,0.653224847977981,41.60306108201621,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_10.csv,,,,0,9,9,9,,,,,,,,,,,,,,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_11.csv,fényképezőgép,11,left,0,10,10,10,0,0,0,15,,,42.886843781976495,None,left,1,0.6734187570400536,42.886843781976495,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_11.csv,játszótér,11,left,0,10,10,10,0,1,1,7,,,44.07220100599807,None,left,1,0.4480427809758112,44.07220100599807,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_11.csv,,,,0,10,10,10,,,,,,,,,,,,,,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_12.csv,kölcsönöz,12,left,0,11,11,11,0,0,0,13,,,45.10601957200561,None,left,1,0.46224321803310886,45.10601957200561,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_12.csv,ékszer,12,left,0,11,11,11,0,1,1,23,,,46.07293599797413,None,left,1,0.495320302026812,46.07293599797413,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_12.csv,,,,0,11,11,11,,,,,,,,,,,,,,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_13.csv,egyenrangú,13,left,0,12,12,12,0,0,0,19,,,47.17337456002133,None,left,1,0.8428880179999396,47.17337456002133,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_13.csv,utalvány,13,left,0,12,12,12,0,1,1,13,,,48.525462030025665,None,left,1,0.6747956170001999,48.525462030025665,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_13.csv,,,,0,12,12,12,,,,,,,,,,,,,,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_14.csv,zuhany,14,left,0,13,13,13,0,0,0,14,,,49.8093152489746,None,left,1,0.48696781403850764,49.8093152489746,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
blocks/block_14.csv,kulináris,14,left,0,13,13,13,0,1,1,11,,,50.80959562002681,None,left,1,0.5346138619934209,50.80959562002681,None,,,01,pepe bácsi,2020_May_19_1828,lukacsagi_lexdec,3.2.4,59.991468722170595,
