ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
space,2.38625,right,0.8786,left,6.90167,space,6.77838,right,1,0.67058,0,0,0,15,1,tartozik,1,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.44807,0,1,1,0,1,hely,1,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,0.44527,0,0,0,22,1,jog,2,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.468635,0,1,1,4,1,friss,2,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.45143,0,0,0,5,1,igény,3,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,0.786725,0,1,1,23,1,perilita,3,left,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,1,0.53214,0,0,0,7,1,évfolyam,4,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,0.6772,0,1,1,18,1,lokkolhat,4,left,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.77544,0,0,0,11,1,lélek,5,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.389275,0,1,1,0,1,változik,5,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,0.4175,0,0,0,16,1,könyvtár,6,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.48501,0,1,1,22,1,célszerű,6,right,5203,nő,1992,"17,5",2020-10-16_23h03.20.856,lexdecspan,2020.1.2,Win32,60,,,,,,
