0.06747499998891726	EXP	Created Window = Window( name=Window, fullscr=true, color=#000000, units=norm, waitBlanking=true, autoLog=true, size=[1280,578] )
2.7198949999874458	DATA	Keydown: 3
3.1246199999877717	DATA	Keydown: 3
4.570829999982379	DATA	Keydown: undefined
5.848939999996219	DATA	Keydown: 1
6.414235000003828	DATA	Keydown: 1
7.190210000000661	DATA	Keydown: Backspace
8.146089999994729	DATA	Keydown: 9
8.301210000005085	DATA	Keydown: 9
8.416384999989532	DATA	Keydown: 9
9.328219999995781	DATA	Keydown: .
9.363790000003064	DATA	Keydown: é
9.960714999993797	DATA	Keydown: 0
10.16923499997938	DATA	Keydown: 6
12.22764999998617	DATA	Keydown: Backspace
12.367819999984931	DATA	Keydown: Backspace
12.776824999978999	DATA	Keydown: Backspace
14.01131499998155	DATA	Keydown: 0
14.12059499998577	DATA	Keydown: 6
14.928114999987883	DATA	Keydown: .
15.478310000005877	DATA	Keydown: 2
15.543564999999944	DATA	Keydown: 5
16.280549999995856	DATA	Keydown: .
22.048754999996163	DATA	Keydown: Backspace
22.871964999998454	DATA	Keydown: n
23.1934299999848	DATA	Keydown: ő
25.493755000003148	DATA	Keydown: 1
25.96127999998862	DATA	Keydown: 9
26.11059500000556	DATA	Keydown: 9
26.243259999988368	DATA	Keydown: 9
26.89788000000408	DATA	Keydown: .
27.59365500000422	DATA	Keydown: 0
28.026539999991655	DATA	Keydown: 6
28.750209999998333	DATA	Keydown: .
28.95075999997789	DATA	Keydown: 2
29.20986499998253	DATA	Keydown: 5
30.312294999981532	DATA	Keydown: .
35.46517499999027	DATA	Keydown: 1
36.0016900000046	DATA	Keydown: 3
