word	fpm	lemma_fpm	nchar	pos	bin	lfpm10r	nonce_word	incorrect_answers	correct_answers	correct_odds	correct_log_odds	residual	pred
bennég	0.008284714119019836	0.111901983663944	6	verb	14	-2.019	FALSE	9	22	2.3	0.8329091229351039	-0.6883768790100522	1.5212860019451555
beszittyózik	1.1668611435239207e-4	9.334889148191366e-4	12	verb	1	-3.87	FALSE	11	23	2	0.6931471805599453	-0.118954389353686	0.8121015699136319
beton	11.943057176196033	19.16639439906651	5	noun	40	1.056	FALSE	0	27	28	3.332204510175204	0.3925496441669985	2.939654866008203
biblikus	1.6353558926487748	1.816336056009335	8	adjective	33	0.218	FALSE	3	29	7.5	2.0149030205422647	-0.5428833051412735	2.5577863256835363
biliárd	1.0505250875145857	1.3563593932322053	7	noun	31	-0.011	FALSE	4	38	7.8	2.0541237336955462	-0.3945572947523728	2.4486810284479175
biotermék	0.4576429404900817	1.4105017502917152	9	noun	28	-0.357	FALSE	0	38	39	3.6635616461296463	1.378538563535156	2.285023082594489
bizmut	0.0970828471411902	0.11890315052508751	6	noun	23	-0.988	FALSE	10	15	1.4545454545454546	0.3746934494414107	-1.6375663900640316	2.0122598395054414
blúz	0.9726954492415403	3.1820303383897315	4	noun	32	0.038	FALSE	1	32	16.5	2.803360380906535	0.30012670384080614	2.503233677065727
bocskor	0.4910151691948658	0.8303383897316219	7	noun	25	-0.768	FALSE	0	45	46	3.828641396489095	1.7072762597480335	2.12136513674106
bojtárkodik	9.334889148191366e-4	0.011551925320886815	11	verb	6	-3.025	FALSE	1	34	17.5	2.862200880929469	1.777336067926789	1.0848648130026797
boldog	74.38623103850642	125.8147024504084	6	adjective	47	1.832	FALSE	0	25	26	3.258096538021482	-0.06342686831139019	3.3215234063328696
bolgár	9.586931155192532	13.554842473745625	6	adjective	40	1.03	FALSE	5	23	4	1.3862943611198906	-1.5533605048883148	2.939654866008203
bolondoz	0.004317386231038506	0.49941656942823803	8	verb	12	-2.302	FALSE	1	31	16	2.772588722239781	1.3604080175302442	1.4121807047095367
ború	0.2955659276546091	0.7198366394399066	4	noun	27	-0.485	FALSE	2	29	10	2.302585092994046	0.07211465901736522	2.230470433976679
bouillon	0.07152858809801634	0.085414235705951	8	noun	14	-2.038	FALSE	34	8	0.2571428571428571	-1.3581234841531944	-2.8794094860983503	1.5212860019451555
bronz	7.276896149358226	10.450408401400233	5	noun	39	0.858	FALSE	1	33	17	2.833213344056216	-0.0518888733341796	2.8851022173903935
budavirág	0.00338389731621937	0.0037339556592765463	9	noun	11	-2.408	FALSE	8	27	3.111111111111111	1.1349799328389845	-0.22264812325274289	1.357628056091727
buherál	0.006884480746791132	0.2469078179696616	7	verb	13	-2.122	FALSE	6	22	3.2857142857142856	1.1895840668738364	-0.27714928645351006	1.466733353327346
buktázik	0.0015169194865810968	0.012602100350058343	8	verb	8	-2.756	FALSE	10	26	2.4545454545454546	0.8979415932059586	-0.29602851703234007	1.1939701102382985
