ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
return,21.386225,return,33.32874,right,1.462665,left,1.10015,right,2.38451,return,11.97202,left,3.535355,0,0,0,229,1,lemesség,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.85668,0,1,1,189,1,konverzál,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.89207,0,2,2,210,1,karakter,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.736075,0,3,3,176,1,bélyeg,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.367175,0,4,4,249,1,kencéz,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.90107,0,5,5,112,1,méhezter,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.133515,0,6,6,146,1,kondenzcsík,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.293565,0,7,7,167,1,vabank,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.27831,0,8,8,54,1,fürkész,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.458265,0,9,9,108,1,konyrúd,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.472095,0,10,10,230,1,délceg,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.60916,0,11,11,106,1,lalláz,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.558795,0,12,12,207,1,diffamál,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.653155,0,13,13,213,1,eszköz,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.236195,0,14,14,232,1,tropikus,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.512925,0,15,15,45,1,népszerű,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.386,0,16,16,71,1,extuál,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.08418,0,17,17,23,1,szelégül,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.59107,0,18,18,157,1,káder,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.75778,0,19,19,135,1,ion,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.67893,0,20,20,178,1,sziszeg,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.177845,0,21,21,134,1,móringol,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.496955,0,22,22,66,1,parkkói,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.496675,0,23,23,80,1,darab,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.479255,0,24,24,116,1,árus,KT143,Nő,1997.10.22.,16,2021-05-13_10h40.32.249,ranlexdec,2020.2.5,Win32,60
