ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
space,28.006025,right,9.66392,right,1.26732,left,7.615995,left,2.077395,space,16.419005,left,1.49389,0,0,0,137,1,aragas,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.031535,0,1,1,202,1,abszint,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.51314,0,2,2,148,1,mellényzseb,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.133245,0,3,3,142,1,storítő,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.93913,0,4,4,188,1,sugár,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.242685,0,5,5,63,1,viszkózus,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.979925,0,6,6,49,1,ernyak,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.03515,0,7,7,125,1,úszamos,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.03935,0,8,8,128,1,csüggedez,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.56298,0,9,9,11,1,viszkóz,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.70486,0,10,10,55,1,látszik,KA101,nő,2000.,13,2021-05-12_23h41.32.247,ranlexdec,2020.2.5,Win32,60
