ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
right,29.693665,right,33.166495,right,0.933725,left,1.16838,left,2.080035,right,11.227235,right,0.97185,0,0,0,196,1,dolgozik,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.88768,0,1,1,177,1,pereg,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.140595,0,2,2,42,1,összalaj,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.793385,0,3,3,161,1,példakép,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.326515,0,4,4,72,1,mihálóz,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.72765,0,5,5,210,1,karakter,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.812665,0,6,6,236,1,csatázik,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.013015,0,7,7,111,1,koenzim,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.92771,0,8,8,123,1,luftballon,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.49611,0,9,9,118,1,libling,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.780595,0,10,10,3,1,tömzsa,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.95234,0,11,11,151,1,komplex,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.726,0,12,12,141,1,hider,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,3.394975,0,13,13,65,1,infimum,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.593895,0,14,14,229,1,lemesség,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.80211,0,15,15,4,1,viszonvád,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.702775,0,16,16,28,1,gazdag,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,4.78206,0,17,17,60,1,bárányfark,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,4.405295,0,18,18,189,1,konverzál,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.835525,0,19,19,201,1,szempont,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.784835,0,20,20,238,1,bolgár,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.739895,0,21,21,33,1,kalcium,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.80877,0,22,22,116,1,árus,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.619205,0,23,23,144,1,rövid,KT133,nő,2000,15,2021-05-13_09h56.59.495,ranlexdec,2020.2.5,Win32,60
