ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
space,28.914905,space,28.264805,right,3.053055,left,0.809165,left,2.13965,space,10.882575,left,2.965225,0,0,0,195,1,petél,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,4.736165,0,1,1,82,1,kvéker,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.156825,0,2,2,247,1,ausztrál,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.79477,0,3,3,132,1,hatalom,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.923345,0,4,4,152,1,rakódik,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.79411,0,5,5,110,1,időszak,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.77498,0,6,6,210,1,karakter,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.190835,0,7,7,49,1,ernyak,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.69801,0,8,8,219,1,szimboló,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.710605,0,9,9,93,1,kilukát,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.71947,0,10,10,191,1,hitódó,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.120065,0,11,11,190,1,rámáz,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.80626,0,12,12,248,1,örmény,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.916515,0,13,13,186,1,piláf,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.242465,0,14,14,232,1,tropikus,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.89693,0,15,15,15,1,pauzál,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.627505,0,16,16,79,1,extrém,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.086755,0,17,17,243,1,dipeptid,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.20782,0,18,18,29,1,novagár,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.627525,0,19,19,26,1,aurult,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.697175,0,20,20,78,1,törékeny,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.791885,0,21,21,158,1,hidroxid,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.736935,0,22,22,64,1,hálózsák,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.301815,0,23,23,65,1,infimum,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.95585,0,24,24,121,1,aggófű,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.193935,0,25,25,109,1,vényegő,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.81437,0,26,26,178,1,sziszeg,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.69392,0,27,27,231,1,igény,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.659935,0,28,28,124,1,alkalom,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.05199,0,29,29,123,1,luftballon,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.6615,0,30,30,221,1,törődik,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.593875,0,31,31,236,1,csatázik,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.276725,0,32,32,127,1,rozintem,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.913955,0,33,33,55,1,látszik,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.868025,0,34,34,92,1,lágyék,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.829025,0,35,35,226,1,szalicil,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.62883,0,36,36,90,1,orális,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.040545,0,37,37,125,1,úszamos,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.370215,0,38,38,36,1,tröshet,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.637635,0,39,39,165,1,lépték,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.26169,0,40,40,166,1,retálhit,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.703215,0,41,41,176,1,bélyeg,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.65636,0,42,42,144,1,rövid,KT234,nő,1994.01.29.,18,2021-05-14_13h44.35.254,ranlexdec,2020.2.5,Win32,60
