ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
return,29.64631,return,36.761755,right,1.97302,left,1.02425,left,0.97353,return,10.5456,left,1.557035,0,0,0,30,1,dádá,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.99983,0,1,1,25,1,reform,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.26421,0,2,2,111,1,koenzim,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.99596,0,3,3,34,1,csengettyű,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.81982,0,4,4,46,1,kurzív,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.2657,0,5,5,210,1,karakter,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.2001,0,6,6,173,1,glosszáz,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.05971,0,7,7,96,1,alfél,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.958875,0,8,8,135,1,ion,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.00786,0,9,9,5,1,retta,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.75245,0,10,10,116,1,árus,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.99739,0,11,11,65,1,infimum,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.78931,0,12,12,237,1,forgórész,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.744965,0,13,13,245,1,ellenfél,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.644045,0,14,14,126,1,rejtőzik,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.92942,0,15,15,226,1,szalicil,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.768475,0,16,16,68,1,kitin,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.04856,0,17,17,155,1,megpadék,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.71446,0,18,18,194,1,végbél,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.0157,0,19,19,118,1,libling,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.023475,0,20,20,133,1,hübrisz,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.740305,0,21,21,199,1,ború,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.84197,0,22,22,70,1,lakotthely,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.149755,0,23,23,48,1,reagál,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.95302,0,24,24,78,1,törékeny,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.26031,0,25,25,37,1,lukaszt,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.091585,0,26,26,168,1,grafikon,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.498885,0,27,27,185,1,gyülemlik,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.069545,0,28,28,181,1,dohorpák,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.748045,0,29,29,121,1,aggófű,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.97733,0,30,30,16,1,cséltás,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.61652,0,31,31,196,1,dolgozik,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.03001,0,32,32,239,1,donhuán,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.49257,0,33,33,85,1,glükóz,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.64724,0,34,34,45,1,népszerű,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.651785,0,35,35,221,1,törődik,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.66299,0,36,36,67,1,szegény,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.42149,0,37,37,69,1,gerencsér,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.58369,0,38,38,47,1,döföl,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.90144,0,39,39,52,1,kunyai,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.314995,0,40,40,164,1,kurzivál,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.164145,0,41,41,36,1,tröshet,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.586485,0,42,42,220,1,csontdarab,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.014885,0,43,43,228,1,tarol,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.767055,0,44,44,73,1,olaj,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.428795,0,45,45,94,1,rotor,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.80832,0,46,46,179,1,töredék,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.227265,0,47,47,1,1,csapdáz,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.301025,0,48,48,131,1,vetézmés,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.852065,0,49,49,39,1,könnyelmű,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.691455,0,50,50,54,1,fürkész,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.82863,0,51,51,50,1,csenyei,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.32527,0,52,52,4,1,viszonvád,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.07717,0,53,53,102,1,pentez,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.724675,0,54,54,184,1,profit,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.676375,0,55,55,157,1,káder,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.976405,0,56,56,200,1,biliárd,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.99774,0,57,57,238,1,bolgár,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.30525,0,58,58,205,1,mimézis,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.477765,0,59,59,140,1,diktátor,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.47708,0,60,60,233,1,templomoz,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.581985,0,61,61,86,1,jármű,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.06928,0,62,62,42,1,összalaj,KT123,nő,1977.03.10,20,2021-05-13_09h29.20.068,ranlexdec,2020.2.5,Win32,60
