ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
space,104.770095,right,104.622195,right,2.1756,left,0.558095,right,0.777415,right,17.51907,left,2.817935,0,0,0,180,1,adszorbens,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.81983,0,1,1,210,1,karakter,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.577225,0,2,2,173,1,glosszáz,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.050885,0,3,3,56,1,kanalaz,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.960195,0,4,4,19,1,tangózik,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.84307,0,5,5,39,1,könnyelmű,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.12522,0,6,6,165,1,lépték,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.863525,0,7,7,62,1,bizmut,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.0985,0,8,8,207,1,diffamál,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.009605,0,9,9,120,1,komál,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.11428,0,10,10,157,1,káder,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.949705,0,11,11,242,1,rekvizit,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.98192,0,12,12,24,1,kosi,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.761155,0,13,13,184,1,profit,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.227905,0,14,14,111,1,koenzim,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.813965,0,15,15,154,1,keresztény,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.996795,0,16,16,190,1,rámáz,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.36003,0,17,17,220,1,csontdarab,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.97772,0,18,18,7,1,űrlap,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.614355,0,19,19,104,1,dolog,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.512315,0,20,20,3,1,tömzsa,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.11368,0,21,21,131,1,vetézmés,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.91565,0,22,22,125,1,úszamos,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.86368,0,23,23,68,1,kitin,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.883405,0,24,24,142,1,storítő,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.215905,0,25,25,223,1,árstop,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.83648,0,26,26,110,1,időszak,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.40059,0,27,27,236,1,csatázik,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.28034,0,28,28,218,1,tortya,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.329395,0,29,29,52,1,kunyai,KT145,nő,2001,13,2021-05-13_10h51.53.553,ranlexdec,2020.2.5,Win32,60
