ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
N/A,4.625715,space,26.241315,right,30.073105,left,1.46101,right,1.0893,space,10.523595,right,2.147555,0,0,0,228,1,tarol,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.269025,0,1,1,62,1,bizmut,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.1648,0,2,2,239,1,donhuán,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.863955,0,3,3,121,1,aggófű,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.715405,0,4,4,67,1,szegény,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.87549,0,5,5,232,1,tropikus,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.27658,0,6,6,155,1,megpadék,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.444725,0,7,7,27,1,sporthorgász,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.27804,0,8,8,111,1,koenzim,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.84924,0,9,9,206,1,horizont,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.953045,0,10,10,42,1,összalaj,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,3.43983,0,11,11,76,1,jegedény,M2AZ9A,Nő,1998,14,2021-05-13_08h08.37.757,ranlexdec,2020.2.5,Win32,60
