ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
space,1.424,space,0.536,left,0.621,left,0.299,left,0.271,left,1.815,right,1.468,0,0,0,8,1,ékszer,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,1.676,0,1,1,103,1,bennég,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,0.297,0,2,2,167,1,dermeszt,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.298,0,3,3,132,1,gyíkfű,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,0.271,0,4,4,29,1,hantáz,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.137,0,5,5,153,1,tutamizál,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,0.089,0,6,6,211,1,citrom,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.065,0,7,7,93,1,almattoló,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,0.182,0,8,8,137,1,antra,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.086,0,9,9,159,1,hajlik,t,t,t,t,2021-04-19_01h02.38.972,ranlexdec,2020.2.5,MacIntel,60
