ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
space,51.227885,space,23.92551,right,3.10075,left,2.23926,left,1.836895,space,8.16043,right,3.081315,0,0,0,193,1,bacon,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.918795,0,1,1,194,1,végbél,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,3.06958,0,2,2,6,1,csüggeszt,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.048255,0,3,3,47,1,döföl,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.07445,0,4,4,52,1,kunyai,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.983285,0,5,5,219,1,szimboló,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.67319,0,6,6,82,1,kvéker,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.167775,0,7,7,156,1,lazúroz,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.137105,0,8,8,240,1,áradmány,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.18252,0,9,9,35,1,türemlik,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.91876,0,10,10,225,1,bajadér,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.139,0,11,11,25,1,reform,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.254175,0,12,12,93,1,kilukát,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.83753,0,13,13,231,1,igény,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.30063,0,14,14,74,1,püffeszt,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.84922,0,15,15,148,1,mellényzseb,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.900595,0,16,16,26,1,aurult,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.24995,0,17,17,136,1,rücsök,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.27066,0,18,18,204,1,kocskesi,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.795255,0,19,19,7,1,űrlap,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.1424,0,20,20,117,1,ószeven,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.96277,0,21,21,113,1,piktogram,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.768875,0,22,22,86,1,jármű,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.8666,0,23,23,45,1,népszerű,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.06678,0,24,24,224,1,truccol,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.154535,0,25,25,68,1,kitin,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.13958,0,26,26,105,1,tököl,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,3.88407,0,27,27,249,1,kencéz,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.738685,0,28,28,43,1,közhely,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.039055,0,29,29,188,1,sugár,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.33429,0,30,30,94,1,rotor,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.832985,0,31,31,104,1,dolog,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.23416,0,32,32,42,1,összalaj,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.767635,0,33,33,179,1,töredék,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.45237,0,34,34,186,1,piláf,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.306075,0,35,35,51,1,bajuszfű,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.86483,0,36,36,223,1,árstop,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.684825,0,37,37,152,1,rakódik,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.76695,0,38,38,129,1,turné,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.87154,0,39,39,197,1,krakéler,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.020605,0,40,40,139,1,vároló,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.971295,0,41,41,218,1,tortya,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.95627,0,42,42,102,1,pentez,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.650855,0,43,43,183,1,színpad,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.65938,0,44,44,157,1,káder,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.89224,0,45,45,209,1,hidegház,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.802745,0,46,46,153,1,kontrapunkt,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.301655,0,47,47,236,1,csatázik,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.82352,0,48,48,60,1,bárányfark,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.6379,0,49,49,16,1,cséltás,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.70627,0,50,50,124,1,alkalom,KT238,nő,1996.12.19.,15,2021-05-14_14h52.45.524,ranlexdec,2020.2.5,Win32,60
