ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
right,25.7881,right,22.01255,right,1.296455,left,1.42719,left,1.15322,right,10.729015,right,1.07193,0,0,0,138,1,gyűjtemény,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.09361,0,1,1,51,1,bajuszfű,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.06871,0,2,2,55,1,látszik,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.878365,0,3,3,221,1,törődik,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.686565,0,4,4,208,1,lélek,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.48607,0,5,5,226,1,szalicil,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.850605,0,6,6,206,1,horizont,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.513935,0,7,7,72,1,mihálóz,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.32938,0,8,8,42,1,összalaj,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.88117,0,9,9,211,1,tábornagy,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.73751,0,10,10,33,1,kalcium,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.179585,0,11,11,117,1,ószeven,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.986625,0,12,12,6,1,csüggeszt,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.76774,0,13,13,192,1,norvend,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.10468,0,14,14,171,1,újgazdag,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.89391,0,15,15,40,1,diviz,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.36472,0,16,16,197,1,krakéler,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.32442,0,17,17,103,1,szabotró,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.034345,0,18,18,44,1,ingváll,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.286465,0,19,19,48,1,reagál,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.859245,0,20,20,24,1,kosi,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.8988,0,21,21,85,1,glükóz,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.801015,0,22,22,102,1,pentez,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.784755,0,23,23,82,1,kvéker,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.328645,0,24,24,153,1,kontrapunkt,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.857025,0,25,25,227,1,kötődik,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.96769,0,26,26,0,1,irány,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.943995,0,27,27,113,1,piktogram,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.05464,0,28,28,36,1,tröshet,KT134,Nő,2000,13,2021-05-13_10h19.09.145,ranlexdec,2020.2.5,Win32,60
