ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
semicolon,40.62325,semicolon,54.34584,right,1.83746,left,1.70091,left,0.601355,semicolon,18.882195,right,0.970355,0,0,0,199,1,ború,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.400385,0,1,1,121,1,aggófű,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.872635,0,2,2,39,1,könnyelmű,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.86698,0,3,3,185,1,gyülemlik,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.03482,0,4,4,149,1,anorák,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.018185,0,5,5,247,1,ausztrál,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.42793,0,6,6,15,1,pauzál,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.469345,0,7,7,229,1,lemesség,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.05266,0,8,8,204,1,kocskesi,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.968695,0,9,9,54,1,fürkész,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.69978,0,10,10,213,1,eszköz,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.0172,0,11,11,96,1,alfél,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.73649,0,12,12,31,1,iszlám,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.10901,0,13,13,107,1,kelől,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.811525,0,14,14,154,1,keresztény,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.502115,0,15,15,183,1,színpad,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.85309,0,16,16,205,1,mimézis,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.66103,0,17,17,202,1,abszint,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.60017,0,18,18,129,1,turné,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.31987,0,19,19,160,1,százalék,KA115,Nő,1999.07.28.,15,2021-05-14_15h44.25.250,ranlexdec,2020.2.5,Win32,60
