ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
right,41.922,right,30.874,right,2.149,left,1.977,left,3.107,right,13.171,left,2.8,0,0,0,157,1,káder,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,1.662,0,1,1,74,1,püffeszt,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,2.207,0,2,2,46,1,kurzív,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,2.856,0,3,3,103,1,szabotró,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,2.332,0,4,4,71,1,extuál,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.85,0,5,5,130,1,derít,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,1.299,0,6,6,218,1,tortya,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.91,0,7,7,85,1,glükóz,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,2.135,0,8,8,60,1,bárányfark,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,2.045,0,9,9,197,1,krakéler,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,3.645,0,10,10,202,1,abszint,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,1.271,0,11,11,6,1,csüggeszt,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,1.123,0,12,12,193,1,bacon,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,1.964,0,13,13,198,1,lublika,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,3.103,0,14,14,30,1,dádá,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.856,0,15,15,98,1,mítosz,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,1.521,0,16,16,217,1,ifjít,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,1.757,0,17,17,38,1,zomogyi,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,2.005,0,18,18,99,1,sárgaréz,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,1.227,0,19,19,132,1,hatalom,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.727,0,20,20,20,1,század,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,2.183,0,21,21,242,1,rekvizit,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,2.388,0,22,22,234,1,fertilis,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,1.818,0,23,23,127,1,rozintem,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,1.995,0,24,24,155,1,megpadék,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0.698,0,25,25,28,1,gazdag,KT140,nő,2001,13,2021-05-13_10h21.18.481,ranlexdec,2020.2.5,MacIntel,60
