ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
return,29.51252,l,2.17736,right,2.19486,left,1.93147,left,2.83137,l,15.51466,right,3.070525,0,0,0,174,1,cianid,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.43639,0,1,1,29,1,novagár,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.352685,0,2,2,244,1,kislány,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.44142,0,3,3,27,1,sporthorgász,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.282935,0,4,4,120,1,komál,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.90811,0,5,5,98,1,mítosz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.41567,0,6,6,218,1,tortya,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.2678,0,7,7,47,1,döföl,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.818295,0,8,8,246,1,beton,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.881805,0,9,9,179,1,töredék,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.383585,0,10,10,229,1,lemesség,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.84905,0,11,11,177,1,pereg,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.42037,0,12,12,219,1,szimboló,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.771545,0,13,13,48,1,reagál,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.44323,0,14,14,91,1,tajtásos,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.14827,0,15,15,202,1,abszint,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.7646,0,16,16,78,1,törékeny,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.774185,0,17,17,86,1,jármű,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.78592,0,18,18,194,1,végbél,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.504415,0,19,19,60,1,bárányfark,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.893935,0,20,20,3,1,tömzsa,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.08127,0,21,21,135,1,ion,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.28167,0,22,22,243,1,dipeptid,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.50581,0,23,23,146,1,kondenzcsík,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.831975,0,24,24,116,1,árus,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.3741,0,25,25,157,1,káder,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.417015,0,26,26,24,1,kosi,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.76568,0,27,27,195,1,petél,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.43122,0,28,28,14,1,selypít,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.697355,0,29,29,108,1,konyrúd,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.87633,0,30,30,122,1,égitest,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.584325,0,31,31,19,1,tangózik,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.983685,0,32,32,21,1,heveny,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.38447,0,33,33,161,1,példakép,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.10037,0,34,34,166,1,retálhit,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.034335,0,35,35,213,1,eszköz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.283715,0,36,36,172,1,kettősfém,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.26662,0,37,37,185,1,gyülemlik,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.13372,0,38,38,80,1,darab,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.434825,0,39,39,132,1,hatalom,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.26983,0,40,40,216,1,svábtök,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.593855,0,41,41,228,1,tarol,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.25069,0,42,42,63,1,viszkózus,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.16673,0,43,43,81,1,takorák,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.967455,0,44,44,39,1,könnyelmű,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,3.10097,0,45,45,223,1,árstop,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,3.33376,0,46,46,205,1,mimézis,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.0676,0,47,47,73,1,olaj,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.917115,0,48,48,133,1,hübrisz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.134875,0,49,49,56,1,kanalaz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.36754,0,50,50,26,1,aurult,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.56649,0,51,51,163,1,kollapszus,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.134155,0,52,52,187,1,testnedv,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.71799,0,53,53,209,1,hidegház,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.133005,0,54,54,130,1,derít,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.250755,0,55,55,190,1,rámáz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.003965,0,56,56,104,1,dolog,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.89317,0,57,57,249,1,kencéz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.05086,0,58,58,105,1,tököl,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.117745,0,59,59,95,1,skubizik,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.484115,0,60,60,181,1,dohorpák,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.849945,0,61,61,6,1,csüggeszt,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.583135,0,62,62,140,1,diktátor,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.58401,0,63,63,37,1,lukaszt,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.91757,0,64,64,222,1,nyersarany,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.517435,0,65,65,84,1,kúpol,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,5.289865,0,66,66,51,1,bajuszfű,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.3071,0,67,67,173,1,glosszáz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,3.15366,0,68,68,198,1,lublika,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.911055,0,69,69,94,1,rotor,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.267525,0,70,70,211,1,tábornagy,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.920285,0,71,71,79,1,extrém,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.08331,0,72,72,217,1,ifjít,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.09067,0,73,73,165,1,lépték,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.35317,0,74,74,1,1,csapdáz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.01649,0,75,75,17,1,magmatit,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.98472,0,76,76,247,1,ausztrál,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.082725,0,77,77,176,1,bélyeg,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.31839,0,78,78,54,1,fürkész,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.876935,0,79,79,191,1,hitódó,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.201875,0,80,80,109,1,vényegő,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.10074,0,81,81,215,1,neoprén,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.23979,0,82,82,128,1,csüggedez,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.817725,0,83,83,134,1,móringol,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.97063,0,84,84,126,1,rejtőzik,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.892785,0,85,85,204,1,kocskesi,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.749835,0,86,86,155,1,megpadék,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.967215,0,87,87,55,1,látszik,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.151085,0,88,88,12,1,gyapot,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.15134,0,89,89,170,1,változik,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.034045,0,90,90,70,1,lakotthely,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,3.099805,0,91,91,87,1,forrpont,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.28314,0,92,92,97,1,vésségi,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.1363,0,93,93,148,1,mellényzseb,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.01663,0,94,94,123,1,luftballon,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.477285,0,95,95,184,1,profit,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.508515,0,96,96,100,1,balközép,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.42148,0,97,97,93,1,kilukát,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.72199,0,98,98,103,1,szabotró,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.68435,0,99,99,234,1,fertilis,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.16701,0,100,100,69,1,gerencsér,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.30149,0,101,101,107,1,kelől,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.899375,0,102,102,239,1,donhuán,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.124795,0,103,103,65,1,infimum,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.15111,0,104,104,99,1,sárgaréz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.68452,0,105,105,16,1,cséltás,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.25158,0,106,106,143,1,rojtoz,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.133535,0,107,107,237,1,forgórész,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.88462,0,108,108,25,1,reform,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.81961,0,109,109,159,1,elegy,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.76682,0,110,110,248,1,örmény,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.73395,0,111,111,175,1,szilikát,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.27074,0,112,112,235,1,transzplantál,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.63741,0,113,113,71,1,extuál,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.984095,0,114,114,129,1,turné,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.217105,0,115,115,117,1,ószeven,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.186085,0,116,116,35,1,türemlik,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.05393,0,117,117,178,1,sziszeg,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.20373,0,118,118,113,1,piktogram,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.09956,0,119,119,199,1,ború,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.90727,0,120,120,226,1,szalicil,TK122,nő,1985.04.20.,16,2021-05-13_09h34.03.230,ranlexdec,2020.2.5,Win32,60
