ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
num_enter,29.85954,num_enter,33.069755,right,11.05465,left,2.58239,left,6.285275,num_enter,15.02139,right,2.11537,0,0,0,200,1,biliárd,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.89374,0,1,1,221,1,törődik,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.64919,0,2,2,15,1,pauzál,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.248435,0,3,3,226,1,szalicil,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,3.31197,0,4,4,38,1,zomogyi,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.4417,0,5,5,80,1,darab,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.570005,0,6,6,235,1,transzplantál,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.281455,0,7,7,239,1,donhuán,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.75879,0,8,8,158,1,hidroxid,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,6.67911,0,9,9,118,1,libling,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.898105,0,10,10,6,1,csüggeszt,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.610535,0,11,11,45,1,népszerű,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.177145,0,12,12,16,1,cséltás,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.17587,0,13,13,105,1,tököl,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.06044,0,14,14,92,1,lágyék,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.817925,0,15,15,230,1,délceg,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.610975,0,16,16,126,1,rejtőzik,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.966445,0,17,17,167,1,vabank,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.85167,0,18,18,104,1,dolog,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.95387,0,19,19,124,1,alkalom,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.144215,0,20,20,27,1,sporthorgász,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.113285,0,21,21,82,1,kvéker,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.640425,0,22,22,241,1,kárpit,KT147,nő,1989,17,2021-05-13_10h48.50.348,ranlexdec,2020.2.5,Win32,60
