ready2_2.keys,ready2_2.rt,ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.rt,withinBlock.thisRepN,withinBlock.thisTrialN,withinBlock.thisN,withinBlock.thisIndex,withinBlock.ran,word,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate
right,30.039105,right,36.74523,right,1.098945,left,1.37845,left,2.380475,right,13.70561,right,1.680385,0,0,0,211,1,tábornagy,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.21289,0,1,1,102,1,pentez,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.0652,0,2,2,164,1,kurzivál,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.588065,0,3,3,144,1,rövid,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.314065,0,4,4,240,1,áradmány,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.631,0,5,5,18,1,csapattest,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.78147,0,6,6,129,1,turné,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.853265,0,7,7,77,1,egant,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.280775,0,8,8,123,1,luftballon,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.79901,0,9,9,149,1,anorák,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.972195,0,10,10,186,1,piláf,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.165175,0,11,11,249,1,kencéz,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.886415,0,12,12,142,1,storítő,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.074535,0,13,13,32,1,genom,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.84778,0,14,14,39,1,könnyelmű,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.698885,0,15,15,195,1,petél,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.26343,0,16,16,88,1,pohár,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.571895,0,17,17,155,1,megpadék,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.797675,0,18,18,62,1,bizmut,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.150435,0,19,19,229,1,lemesség,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.786,0,20,20,33,1,kalcium,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.859225,0,21,21,174,1,cianid,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.69599,0,22,22,48,1,reagál,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.86609,0,23,23,137,1,aragas,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.94001,0,24,24,202,1,abszint,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.01635,0,25,25,212,1,farkasbab,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.281805,0,26,26,156,1,lazúroz,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.21755,0,27,27,120,1,komál,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.738435,0,28,28,162,1,nimbus,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.89372,0,29,29,113,1,piktogram,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.61923,0,30,30,114,1,tartalom,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.363935,0,31,31,87,1,forrpont,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.998805,0,32,32,169,1,komoly,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.61701,0,33,33,147,1,referál,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.91985,0,34,34,72,1,mihálóz,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,2.782785,0,35,35,172,1,kettősfém,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.76499,0,36,36,26,1,aurult,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.23622,0,37,37,222,1,nyersarany,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.78106,0,38,38,203,1,abeti,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.752855,0,39,39,247,1,ausztrál,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.696905,0,40,40,86,1,jármű,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.803675,0,41,41,154,1,keresztény,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.82093,0,42,42,141,1,hider,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.913705,0,43,43,37,1,lukaszt,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.71594,0,44,44,122,1,égitest,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.635285,0,45,45,161,1,példakép,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.58075,0,46,46,55,1,látszik,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,2.035315,0,47,47,209,1,hidegház,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.315895,0,48,48,204,1,kocskesi,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.665995,0,49,49,7,1,űrlap,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.699565,0,50,50,92,1,lágyék,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,0.714565,0,51,51,49,1,ernyak,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.300755,0,52,52,111,1,koenzim,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.664615,0,53,53,187,1,testnedv,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.601935,0,54,54,180,1,adszorbens,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.730435,0,55,55,11,1,viszkóz,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.89951,0,56,56,10,1,nárcisz,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.720725,0,57,57,22,1,arzénsav,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,0.69822,0,58,58,85,1,glükóz,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,right,1.25267,0,59,59,74,1,püffeszt,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
,,,,,,,,,,,,left,1.141745,0,60,60,112,1,méhezter,KT110,nő,2001,13,2021-05-13_08h25.44.325,ranlexdec,2020.2.5,Win32,60
